 ROC-integ, Separation, Significance, Variables
 0.670,0.102,0.305, ptSumOther_pOtherMin, ptSumOther_ptOtherMin
 0.675,0.110,0.310, ptSumOther_pOtherMin, ptSumOther_dRJJMin
 0.696,0.133,0.352, ptSumOther_pOtherMin, ptLeadOther_sumPtJJMax
 0.696,0.133,0.352, ptSumOther_pOtherMin, ptLeadOther_ptSumOtherMin
 0.696,0.133,0.352, ptSumOther_pOtherMin, ptLeadOther_ptLeadOtherMin
 0.699,0.135,0.346, ptSumOther_pOtherMin, sumPtJJ_ptLeadOtherMax
 0.679,0.112,0.302, ptSumOther_pOtherMin, ptSumOther_mJJMax
 0.677,0.108,0.306, ptSumOther_pOtherMin, mOther_dRJJMax
 0.681,0.113,0.318, ptSumOther_pOtherMin, ptSumOther_pOtherMax
 0.696,0.132,0.378, ptSumOther_pOtherMin, min_dr_jets
 0.696,0.132,0.378, ptSumOther_pOtherMin, dRJJ_dRJJMin
 0.714,0.147,0.429, ptSumOther_pOtherMin, numHiggsLike_dijet_15_float
 0.669,0.105,0.290, ptSumOther_pOtherMin, ptSumOther_ptLeadOtherMax
 0.669,0.105,0.302, ptSumOther_pOtherMin, ptSumOther_ptAsymJJMin
 0.694,0.131,0.381, ptSumOther_pOtherMin, higgsLike_dijet_mass
 0.721,0.153,0.449, ptSumOther_pOtherMin, dRJJ_ptJJMax
 0.680,0.109,0.301, ptSumOther_etaOtherMin, ptSumOther_dPhiJJMax
 0.674,0.111,0.299, ptSumOther_etaOtherMin, ptSumOther_pzJJMax
 0.674,0.111,0.299, ptSumOther_etaOtherMin, ptSumOther_pzOtherMin
 0.679,0.110,0.308, ptSumOther_etaOtherMin, ptSumOther_sumPtJJMax
 0.679,0.110,0.308, ptSumOther_etaOtherMin, ptSumOther_ptSumOtherMin
 0.679,0.110,0.308, ptSumOther_etaOtherMin, ptSumOther_ptLeadOtherMin
 0.681,0.113,0.308, ptSumOther_etaOtherMin, ptSumOther_sumPtJJMin
 0.681,0.113,0.308, ptSumOther_etaOtherMin, ptSumOther_ptSumOtherMax
 0.710,0.148,0.392, ptSumOther_etaOtherMin, dEtaJJ_dEtaJJMin
 0.676,0.111,0.315, ptSumOther_etaOtherMin, ptSumOther_etaJJMax
 0.680,0.115,0.316, ptSumOther_etaOtherMin, ptSumOther_dEtaJJMin
 0.682,0.112,0.313, ptSumOther_etaOtherMin, ptSumOther_ptJJMax
 0.709,0.139,0.406, ptSumOther_etaOtherMin, higgsLike_dijet_mass2
 0.685,0.114,0.320, ptSumOther_etaOtherMin, ptSumOther_etaJJMin
 0.676,0.100,0.308, ptSumOther_etaOtherMin, ptSumOther_dPhiJJMin
 0.675,0.105,0.307, ptSumOther_etaOtherMin, ptSumOther_dRJJMax
 0.675,0.105,0.304, ptSumOther_etaOtherMin, ptSumOther_ptJJMin
 0.681,0.117,0.310, ptSumOther_etaOtherMin, ptSumOther_mJJMin
 0.678,0.111,0.309, ptSumOther_etaOtherMin, ptSumOther_pJJMax
 0.681,0.106,0.318, ptSumOther_etaOtherMin, ptSumOther_pzJJMin
 0.681,0.106,0.318, ptSumOther_etaOtherMin, ptSumOther_pzOtherMax
 0.673,0.107,0.305, ptSumOther_etaOtherMin, ptSumOther_pJJMin
 0.675,0.106,0.300, ptSumOther_etaOtherMin, ptSumOther_mOtherMin
 0.677,0.109,0.307, ptSumOther_etaOtherMin, ptSumOther_etaOtherMax
 0.691,0.120,0.322, ptSumOther_etaOtherMin, mOther_dEtaJJMax
 0.673,0.102,0.299, ptSumOther_etaOtherMin, ptSumOther_ptOtherMin
 0.677,0.106,0.302, ptSumOther_etaOtherMin, ptSumOther_dRJJMin
 0.693,0.127,0.346, ptSumOther_etaOtherMin, ptLeadOther_sumPtJJMax
 0.693,0.127,0.346, ptSumOther_etaOtherMin, ptLeadOther_ptSumOtherMin
 0.693,0.127,0.346, ptSumOther_etaOtherMin, ptLeadOther_ptLeadOtherMin
 0.689,0.123,0.330, ptSumOther_etaOtherMin, sumPtJJ_ptLeadOtherMax
 0.677,0.109,0.293, ptSumOther_etaOtherMin, ptSumOther_mJJMax
 0.687,0.120,0.320, ptSumOther_etaOtherMin, mOther_dRJJMax
 0.676,0.106,0.309, ptSumOther_etaOtherMin, ptSumOther_pOtherMax
 0.701,0.132,0.380, ptSumOther_etaOtherMin, min_dr_jets
 0.701,0.132,0.380, ptSumOther_etaOtherMin, dRJJ_dRJJMin
 0.718,0.152,0.435, ptSumOther_etaOtherMin, numHiggsLike_dijet_15_float
 0.670,0.106,0.291, ptSumOther_etaOtherMin, ptSumOther_ptLeadOtherMax
 0.672,0.105,0.304, ptSumOther_etaOtherMin, ptSumOther_ptAsymJJMin
 0.701,0.130,0.392, ptSumOther_etaOtherMin, higgsLike_dijet_mass
 0.720,0.155,0.446, ptSumOther_etaOtherMin, dRJJ_ptJJMax
 0.677,0.113,0.293, ptSumOther_dPhiJJMax, ptSumOther_pzJJMax
 0.677,0.113,0.293, ptSumOther_dPhiJJMax, ptSumOther_pzOtherMin
 0.675,0.109,0.292, ptSumOther_dPhiJJMax, ptSumOther_sumPtJJMax
 0.675,0.109,0.292, ptSumOther_dPhiJJMax, ptSumOther_ptSumOtherMin
 0.675,0.109,0.292, ptSumOther_dPhiJJMax, ptSumOther_ptLeadOtherMin
 0.683,0.116,0.306, ptSumOther_dPhiJJMax, ptSumOther_sumPtJJMin
 0.683,0.116,0.306, ptSumOther_dPhiJJMax, ptSumOther_ptSumOtherMax
 0.709,0.147,0.384, ptSumOther_dPhiJJMax, dEtaJJ_dEtaJJMin
 0.680,0.117,0.304, ptSumOther_dPhiJJMax, ptSumOther_etaJJMax
 0.678,0.114,0.301, ptSumOther_dPhiJJMax, ptSumOther_dEtaJJMin
 0.681,0.115,0.297, ptSumOther_dPhiJJMax, ptSumOther_ptJJMax
 0.708,0.142,0.398, ptSumOther_dPhiJJMax, higgsLike_dijet_mass2
 0.676,0.109,0.300, ptSumOther_dPhiJJMax, ptSumOther_etaJJMin
 0.679,0.113,0.301, ptSumOther_dPhiJJMax, ptSumOther_dPhiJJMin
 0.673,0.107,0.294, ptSumOther_dPhiJJMax, ptSumOther_dRJJMax
 0.678,0.109,0.303, ptSumOther_dPhiJJMax, ptSumOther_ptJJMin
 0.679,0.112,0.296, ptSumOther_dPhiJJMax, ptSumOther_mJJMin
 0.679,0.110,0.299, ptSumOther_dPhiJJMax, ptSumOther_pJJMax
 0.673,0.106,0.296, ptSumOther_dPhiJJMax, ptSumOther_pzJJMin
 0.673,0.106,0.296, ptSumOther_dPhiJJMax, ptSumOther_pzOtherMax
 0.676,0.120,0.304, ptSumOther_dPhiJJMax, ptSumOther_pJJMin
 0.674,0.113,0.289, ptSumOther_dPhiJJMax, ptSumOther_mOtherMin
 0.672,0.105,0.291, ptSumOther_dPhiJJMax, ptSumOther_etaOtherMax
 0.681,0.107,0.310, ptSumOther_dPhiJJMax, mOther_dEtaJJMax
 0.676,0.110,0.300, ptSumOther_dPhiJJMax, ptSumOther_ptOtherMin
 0.678,0.116,0.295, ptSumOther_dPhiJJMax, ptSumOther_dRJJMin
 0.696,0.129,0.340, ptSumOther_dPhiJJMax, ptLeadOther_sumPtJJMax
 0.696,0.129,0.340, ptSumOther_dPhiJJMax, ptLeadOther_ptSumOtherMin
 0.696,0.129,0.340, ptSumOther_dPhiJJMax, ptLeadOther_ptLeadOtherMin
 0.692,0.127,0.325, ptSumOther_dPhiJJMax, sumPtJJ_ptLeadOtherMax
 0.676,0.106,0.287, ptSumOther_dPhiJJMax, ptSumOther_mJJMax
 0.685,0.121,0.313, ptSumOther_dPhiJJMax, mOther_dRJJMax
 0.678,0.113,0.300, ptSumOther_dPhiJJMax, ptSumOther_pOtherMax
 0.702,0.134,0.381, ptSumOther_dPhiJJMax, min_dr_jets
 0.702,0.134,0.381, ptSumOther_dPhiJJMax, dRJJ_dRJJMin
 0.714,0.151,0.425, ptSumOther_dPhiJJMax, numHiggsLike_dijet_15_float
 0.678,0.107,0.286, ptSumOther_dPhiJJMax, ptSumOther_ptLeadOtherMax
 0.676,0.113,0.298, ptSumOther_dPhiJJMax, ptSumOther_ptAsymJJMin
 0.695,0.125,0.381, ptSumOther_dPhiJJMax, higgsLike_dijet_mass
 0.721,0.152,0.445, ptSumOther_dPhiJJMax, dRJJ_ptJJMax
r):   ,Sepa-,Signifi- , ptSumOther_pzJJMax, ptSumOther_pzOtherMin
 0.678,0.111,0.306, ptSumOther_pzJJMax, ptSumOther_sumPtJJMax
 0.678,0.111,0.306, ptSumOther_pzJJMax, ptSumOther_ptSumOtherMin
 0.678,0.111,0.306, ptSumOther_pzJJMax, ptSumOther_ptLeadOtherMin
 0.675,0.110,0.308, ptSumOther_pzJJMax, ptSumOther_sumPtJJMin
 0.675,0.110,0.308, ptSumOther_pzJJMax, ptSumOther_ptSumOtherMax
 0.708,0.145,0.389, ptSumOther_pzJJMax, dEtaJJ_dEtaJJMin
 0.671,0.111,0.306, ptSumOther_pzJJMax, ptSumOther_etaJJMax
 0.675,0.112,0.311, ptSumOther_pzJJMax, ptSumOther_dEtaJJMin
 0.676,0.106,0.300, ptSumOther_pzJJMax, ptSumOther_ptJJMax
 0.710,0.145,0.416, ptSumOther_pzJJMax, higgsLike_dijet_mass2
 0.681,0.112,0.320, ptSumOther_pzJJMax, ptSumOther_etaJJMin
 0.672,0.104,0.307, ptSumOther_pzJJMax, ptSumOther_dPhiJJMin
 0.670,0.101,0.304, ptSumOther_pzJJMax, ptSumOther_dRJJMax
 0.671,0.110,0.302, ptSumOther_pzJJMax, ptSumOther_ptJJMin
 0.675,0.114,0.306, ptSumOther_pzJJMax, ptSumOther_mJJMin
 0.672,0.107,0.298, ptSumOther_pzJJMax, ptSumOther_pJJMax
 0.675,0.107,0.317, ptSumOther_pzJJMax, ptSumOther_pzJJMin
 0.675,0.107,0.317, ptSumOther_pzJJMax, ptSumOther_pzOtherMax
 0.671,0.109,0.307, ptSumOther_pzJJMax, ptSumOther_pJJMin
 0.672,0.111,0.300, ptSumOther_pzJJMax, ptSumOther_mOtherMin
 0.677,0.109,0.309, ptSumOther_pzJJMax, ptSumOther_etaOtherMax
 0.684,0.120,0.326, ptSumOther_pzJJMax, mOther_dEtaJJMax
 0.671,0.113,0.304, ptSumOther_pzJJMax, ptSumOther_ptOtherMin
 0.676,0.112,0.308, ptSumOther_pzJJMax, ptSumOther_dRJJMin
 0.691,0.133,0.352, ptSumOther_pzJJMax, ptLeadOther_sumPtJJMax
 0.691,0.133,0.352, ptSumOther_pzJJMax, ptLeadOther_ptSumOtherMin
 0.691,0.133,0.352, ptSumOther_pzJJMax, ptLeadOther_ptLeadOtherMin
 0.685,0.129,0.330, ptSumOther_pzJJMax, sumPtJJ_ptLeadOtherMax
 0.675,0.105,0.294, ptSumOther_pzJJMax, ptSumOther_mJJMax
 0.684,0.113,0.322, ptSumOther_pzJJMax, mOther_dRJJMax
 0.671,0.109,0.309, ptSumOther_pzJJMax, ptSumOther_pOtherMax
 0.701,0.142,0.388, ptSumOther_pzJJMax, min_dr_jets
 0.701,0.142,0.388, ptSumOther_pzJJMax, dRJJ_dRJJMin
 0.717,0.154,0.439, ptSumOther_pzJJMax, numHiggsLike_dijet_15_float
 0.666,0.114,0.291, ptSumOther_pzJJMax, ptSumOther_ptLeadOtherMax
 0.672,0.106,0.307, ptSumOther_pzJJMax, ptSumOther_ptAsymJJMin
 0.698,0.136,0.395, ptSumOther_pzJJMax, higgsLike_dijet_mass
 0.719,0.154,0.453, ptSumOther_pzJJMax, dRJJ_ptJJMax
 0.678,0.111,0.306, ptSumOther_pzOtherMin, ptSumOther_sumPtJJMax
 0.678,0.111,0.306, ptSumOther_pzOtherMin, ptSumOther_ptSumOtherMin
 0.678,0.111,0.306, ptSumOther_pzOtherMin, ptSumOther_ptLeadOtherMin
 0.675,0.110,0.308, ptSumOther_pzOtherMin, ptSumOther_sumPtJJMin
 0.675,0.110,0.308, ptSumOther_pzOtherMin, ptSumOther_ptSumOtherMax
 0.708,0.145,0.389, ptSumOther_pzOtherMin, dEtaJJ_dEtaJJMin
 0.671,0.111,0.306, ptSumOther_pzOtherMin, ptSumOther_etaJJMax
 0.675,0.112,0.311, ptSumOther_pzOtherMin, ptSumOther_dEtaJJMin
 0.676,0.106,0.300, ptSumOther_pzOtherMin, ptSumOther_ptJJMax
 0.710,0.145,0.416, ptSumOther_pzOtherMin, higgsLike_dijet_mass2
 0.681,0.112,0.320, ptSumOther_pzOtherMin, ptSumOther_etaJJMin
 0.672,0.104,0.307, ptSumOther_pzOtherMin, ptSumOther_dPhiJJMin
 0.670,0.101,0.304, ptSumOther_pzOtherMin, ptSumOther_dRJJMax
 0.671,0.110,0.302, ptSumOther_pzOtherMin, ptSumOther_ptJJMin
 0.675,0.114,0.306, ptSumOther_pzOtherMin, ptSumOther_mJJMin
 0.672,0.107,0.298, ptSumOther_pzOtherMin, ptSumOther_pJJMax
 0.675,0.107,0.317, ptSumOther_pzOtherMin, ptSumOther_pzJJMin
 0.675,0.107,0.317, ptSumOther_pzOtherMin, ptSumOther_pzOtherMax
 0.671,0.109,0.307, ptSumOther_pzOtherMin, ptSumOther_pJJMin
 0.672,0.111,0.300, ptSumOther_pzOtherMin, ptSumOther_mOtherMin
 0.677,0.109,0.309, ptSumOther_pzOtherMin, ptSumOther_etaOtherMax
 0.684,0.120,0.326, ptSumOther_pzOtherMin, mOther_dEtaJJMax
 0.671,0.113,0.304, ptSumOther_pzOtherMin, ptSumOther_ptOtherMin
 0.676,0.112,0.308, ptSumOther_pzOtherMin, ptSumOther_dRJJMin
 0.691,0.133,0.352, ptSumOther_pzOtherMin, ptLeadOther_sumPtJJMax
 0.691,0.133,0.352, ptSumOther_pzOtherMin, ptLeadOther_ptSumOtherMin
 0.691,0.133,0.352, ptSumOther_pzOtherMin, ptLeadOther_ptLeadOtherMin
 0.685,0.129,0.330, ptSumOther_pzOtherMin, sumPtJJ_ptLeadOtherMax
 0.675,0.105,0.294, ptSumOther_pzOtherMin, ptSumOther_mJJMax
 0.684,0.113,0.322, ptSumOther_pzOtherMin, mOther_dRJJMax
 0.671,0.109,0.309, ptSumOther_pzOtherMin, ptSumOther_pOtherMax
 0.701,0.142,0.388, ptSumOther_pzOtherMin, min_dr_jets
 0.701,0.142,0.388, ptSumOther_pzOtherMin, dRJJ_dRJJMin
 0.717,0.154,0.439, ptSumOther_pzOtherMin, numHiggsLike_dijet_15_float
 0.666,0.114,0.291, ptSumOther_pzOtherMin, ptSumOther_ptLeadOtherMax
 0.672,0.106,0.307, ptSumOther_pzOtherMin, ptSumOther_ptAsymJJMin
 0.698,0.136,0.395, ptSumOther_pzOtherMin, higgsLike_dijet_mass
 0.719,0.154,0.453, ptSumOther_pzOtherMin, dRJJ_ptJJMax
r):   ,Sepa-,Signifi- , ptSumOther_sumPtJJMax, ptSumOther_ptSumOtherMin
r):   ,Sepa-,Signifi- , ptSumOther_sumPtJJMax, ptSumOther_ptLeadOtherMin
 0.679,0.114,0.312, ptSumOther_sumPtJJMax, ptSumOther_sumPtJJMin
 0.679,0.114,0.312, ptSumOther_sumPtJJMax, ptSumOther_ptSumOtherMax
 0.708,0.148,0.386, ptSumOther_sumPtJJMax, dEtaJJ_dEtaJJMin
 0.676,0.110,0.311, ptSumOther_sumPtJJMax, ptSumOther_etaJJMax
 0.679,0.112,0.311, ptSumOther_sumPtJJMax, ptSumOther_dEtaJJMin
 0.671,0.107,0.300, ptSumOther_sumPtJJMax, ptSumOther_ptJJMax
 0.707,0.142,0.398, ptSumOther_sumPtJJMax, higgsLike_dijet_mass2
 0.677,0.110,0.306, ptSumOther_sumPtJJMax, ptSumOther_etaJJMin
 0.671,0.102,0.295, ptSumOther_sumPtJJMax, ptSumOther_dPhiJJMin
 0.668,0.097,0.292, ptSumOther_sumPtJJMax, ptSumOther_dRJJMax
 0.675,0.106,0.312, ptSumOther_sumPtJJMax, ptSumOther_ptJJMin
 0.674,0.110,0.306, ptSumOther_sumPtJJMax, ptSumOther_mJJMin
 0.676,0.105,0.302, ptSumOther_sumPtJJMax, ptSumOther_pJJMax
 0.675,0.106,0.298, ptSumOther_sumPtJJMax, ptSumOther_pzJJMin
 0.675,0.106,0.298, ptSumOther_sumPtJJMax, ptSumOther_pzOtherMax
 0.675,0.107,0.312, ptSumOther_sumPtJJMax, ptSumOther_pJJMin
 0.669,0.104,0.302, ptSumOther_sumPtJJMax, ptSumOther_mOtherMin
 0.672,0.098,0.290, ptSumOther_sumPtJJMax, ptSumOther_etaOtherMax
 0.680,0.112,0.314, ptSumOther_sumPtJJMax, mOther_dEtaJJMax
 0.675,0.106,0.307, ptSumOther_sumPtJJMax, ptSumOther_ptOtherMin
 0.671,0.112,0.309, ptSumOther_sumPtJJMax, ptSumOther_dRJJMin
 0.690,0.123,0.337, ptSumOther_sumPtJJMax, ptLeadOther_sumPtJJMax
 0.690,0.123,0.337, ptSumOther_sumPtJJMax, ptLeadOther_ptSumOtherMin
 0.690,0.123,0.337, ptSumOther_sumPtJJMax, ptLeadOther_ptLeadOtherMin
 0.693,0.123,0.332, ptSumOther_sumPtJJMax, sumPtJJ_ptLeadOtherMax
 0.673,0.101,0.293, ptSumOther_sumPtJJMax, ptSumOther_mJJMax
 0.683,0.121,0.320, ptSumOther_sumPtJJMax, mOther_dRJJMax
 0.680,0.107,0.312, ptSumOther_sumPtJJMax, ptSumOther_pOtherMax
 0.699,0.132,0.374, ptSumOther_sumPtJJMax, min_dr_jets
 0.699,0.132,0.374, ptSumOther_sumPtJJMax, dRJJ_dRJJMin
 0.712,0.152,0.424, ptSumOther_sumPtJJMax, numHiggsLike_dijet_15_float
 0.673,0.107,0.295, ptSumOther_sumPtJJMax, ptSumOther_ptLeadOtherMax
 0.674,0.106,0.301, ptSumOther_sumPtJJMax, ptSumOther_ptAsymJJMin
 0.696,0.128,0.384, ptSumOther_sumPtJJMax, higgsLike_dijet_mass
 0.719,0.154,0.448, ptSumOther_sumPtJJMax, dRJJ_ptJJMax
r):   ,Sepa-,Signifi- , ptSumOther_ptSumOtherMin, ptSumOther_ptLeadOtherMin
 0.679,0.114,0.312, ptSumOther_ptSumOtherMin, ptSumOther_sumPtJJMin
 0.679,0.114,0.312, ptSumOther_ptSumOtherMin, ptSumOther_ptSumOtherMax
 0.708,0.148,0.386, ptSumOther_ptSumOtherMin, dEtaJJ_dEtaJJMin
 0.676,0.110,0.311, ptSumOther_ptSumOtherMin, ptSumOther_etaJJMax
 0.679,0.112,0.311, ptSumOther_ptSumOtherMin, ptSumOther_dEtaJJMin
 0.671,0.107,0.300, ptSumOther_ptSumOtherMin, ptSumOther_ptJJMax
 0.707,0.142,0.398, ptSumOther_ptSumOtherMin, higgsLike_dijet_mass2
 0.677,0.110,0.306, ptSumOther_ptSumOtherMin, ptSumOther_etaJJMin
 0.671,0.102,0.295, ptSumOther_ptSumOtherMin, ptSumOther_dPhiJJMin
 0.668,0.097,0.292, ptSumOther_ptSumOtherMin, ptSumOther_dRJJMax
 0.675,0.106,0.312, ptSumOther_ptSumOtherMin, ptSumOther_ptJJMin
 0.674,0.110,0.306, ptSumOther_ptSumOtherMin, ptSumOther_mJJMin
 0.676,0.105,0.302, ptSumOther_ptSumOtherMin, ptSumOther_pJJMax
 0.675,0.106,0.298, ptSumOther_ptSumOtherMin, ptSumOther_pzJJMin
 0.675,0.106,0.298, ptSumOther_ptSumOtherMin, ptSumOther_pzOtherMax
 0.675,0.107,0.312, ptSumOther_ptSumOtherMin, ptSumOther_pJJMin
 0.669,0.104,0.302, ptSumOther_ptSumOtherMin, ptSumOther_mOtherMin
 0.672,0.098,0.290, ptSumOther_ptSumOtherMin, ptSumOther_etaOtherMax
 0.680,0.112,0.314, ptSumOther_ptSumOtherMin, mOther_dEtaJJMax
 0.675,0.106,0.307, ptSumOther_ptSumOtherMin, ptSumOther_ptOtherMin
 0.671,0.112,0.309, ptSumOther_ptSumOtherMin, ptSumOther_dRJJMin
 0.690,0.123,0.337, ptSumOther_ptSumOtherMin, ptLeadOther_sumPtJJMax
 0.690,0.123,0.337, ptSumOther_ptSumOtherMin, ptLeadOther_ptSumOtherMin
 0.690,0.123,0.337, ptSumOther_ptSumOtherMin, ptLeadOther_ptLeadOtherMin
 0.693,0.123,0.332, ptSumOther_ptSumOtherMin, sumPtJJ_ptLeadOtherMax
 0.673,0.101,0.293, ptSumOther_ptSumOtherMin, ptSumOther_mJJMax
 0.683,0.121,0.320, ptSumOther_ptSumOtherMin, mOther_dRJJMax
 0.680,0.107,0.312, ptSumOther_ptSumOtherMin, ptSumOther_pOtherMax
 0.699,0.132,0.374, ptSumOther_ptSumOtherMin, min_dr_jets
 0.699,0.132,0.374, ptSumOther_ptSumOtherMin, dRJJ_dRJJMin
 0.712,0.152,0.424, ptSumOther_ptSumOtherMin, numHiggsLike_dijet_15_float
 0.673,0.107,0.295, ptSumOther_ptSumOtherMin, ptSumOther_ptLeadOtherMax
 0.674,0.106,0.301, ptSumOther_ptSumOtherMin, ptSumOther_ptAsymJJMin
 0.696,0.128,0.384, ptSumOther_ptSumOtherMin, higgsLike_dijet_mass
 0.719,0.154,0.448, ptSumOther_ptSumOtherMin, dRJJ_ptJJMax
 0.679,0.114,0.312, ptSumOther_ptLeadOtherMin, ptSumOther_sumPtJJMin
 0.679,0.114,0.312, ptSumOther_ptLeadOtherMin, ptSumOther_ptSumOtherMax
 0.708,0.148,0.386, ptSumOther_ptLeadOtherMin, dEtaJJ_dEtaJJMin
 0.676,0.110,0.311, ptSumOther_ptLeadOtherMin, ptSumOther_etaJJMax
 0.679,0.112,0.311, ptSumOther_ptLeadOtherMin, ptSumOther_dEtaJJMin
 0.671,0.107,0.300, ptSumOther_ptLeadOtherMin, ptSumOther_ptJJMax
 0.707,0.142,0.398, ptSumOther_ptLeadOtherMin, higgsLike_dijet_mass2
 0.677,0.110,0.306, ptSumOther_ptLeadOtherMin, ptSumOther_etaJJMin
 0.671,0.102,0.295, ptSumOther_ptLeadOtherMin, ptSumOther_dPhiJJMin
 0.668,0.097,0.292, ptSumOther_ptLeadOtherMin, ptSumOther_dRJJMax
 0.675,0.106,0.312, ptSumOther_ptLeadOtherMin, ptSumOther_ptJJMin
 0.674,0.110,0.306, ptSumOther_ptLeadOtherMin, ptSumOther_mJJMin
 0.676,0.105,0.302, ptSumOther_ptLeadOtherMin, ptSumOther_pJJMax
 0.675,0.106,0.298, ptSumOther_ptLeadOtherMin, ptSumOther_pzJJMin
 0.675,0.106,0.298, ptSumOther_ptLeadOtherMin, ptSumOther_pzOtherMax
 0.675,0.107,0.312, ptSumOther_ptLeadOtherMin, ptSumOther_pJJMin
 0.669,0.104,0.302, ptSumOther_ptLeadOtherMin, ptSumOther_mOtherMin
 0.672,0.098,0.290, ptSumOther_ptLeadOtherMin, ptSumOther_etaOtherMax
 0.680,0.112,0.314, ptSumOther_ptLeadOtherMin, mOther_dEtaJJMax
 0.675,0.106,0.307, ptSumOther_ptLeadOtherMin, ptSumOther_ptOtherMin
 0.671,0.112,0.309, ptSumOther_ptLeadOtherMin, ptSumOther_dRJJMin
 0.690,0.123,0.337, ptSumOther_ptLeadOtherMin, ptLeadOther_sumPtJJMax
 0.690,0.123,0.337, ptSumOther_ptLeadOtherMin, ptLeadOther_ptSumOtherMin
 0.690,0.123,0.337, ptSumOther_ptLeadOtherMin, ptLeadOther_ptLeadOtherMin
 0.693,0.123,0.332, ptSumOther_ptLeadOtherMin, sumPtJJ_ptLeadOtherMax
 0.673,0.101,0.293, ptSumOther_ptLeadOtherMin, ptSumOther_mJJMax
 0.683,0.121,0.320, ptSumOther_ptLeadOtherMin, mOther_dRJJMax
 0.680,0.107,0.312, ptSumOther_ptLeadOtherMin, ptSumOther_pOtherMax
 0.699,0.132,0.374, ptSumOther_ptLeadOtherMin, min_dr_jets
 0.699,0.132,0.374, ptSumOther_ptLeadOtherMin, dRJJ_dRJJMin
 0.712,0.152,0.424, ptSumOther_ptLeadOtherMin, numHiggsLike_dijet_15_float
 0.673,0.107,0.295, ptSumOther_ptLeadOtherMin, ptSumOther_ptLeadOtherMax
 0.674,0.106,0.301, ptSumOther_ptLeadOtherMin, ptSumOther_ptAsymJJMin
 0.696,0.128,0.384, ptSumOther_ptLeadOtherMin, higgsLike_dijet_mass
 0.719,0.154,0.448, ptSumOther_ptLeadOtherMin, dRJJ_ptJJMax
r):   ,Sepa-,Signifi- , ptSumOther_sumPtJJMin, ptSumOther_ptSumOtherMax
 0.705,0.146,0.396, ptSumOther_sumPtJJMin, dEtaJJ_dEtaJJMin
